hour,member_casual,n
0,casual,13588
0,member,46013
1,casual,30774
1,member,116666
2,casual,53596
2,member,203013
3,casual,70651
3,member,229562
4,casual,72472
4,member,160057
5,casual,88582
5,member,147893
6,casual,111157
6,member,171197
7,casual,129751
7,member,189751
8,casual,135245
8,member,187404
9,casual,141740
9,member,198628
10,casual,156152
10,member,250839
11,casual,174144
11,member,327412
12,casual,184159
12,member,352495
13,casual,156803
13,member,272863
14,casual,116763
14,member,190842
15,casual,85182
15,member,134880
16,casual,72054
16,member,103834
17,casual,61374
17,member,74390
18,casual,44582
18,member,46821
19,casual,33770
19,member,28871
20,casual,21668
20,member,17852
21,casual,13450
21,member,10410
22,casual,7853
22,member,7685
23,casual,6706
23,member,13372
